ID;NOMBRE;TIPO_C;COMUNA;BARRIO;CATEGORIA;TIPOLOGIA;LONG;FECHA;LIM_COM;LIM_BARRIO
169;GARAY, JAUN DE AV.;AVENIDA;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,41383412448;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
170;LIMA;CALLE;COMUNA 1;CONSTITUCION;CICLOVIA;BIDIRECCIONAL;0,10830240166;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
171;LA PAMPA;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;0,35971966007;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
172;PEREZ, ROQUE;CALLE;COMUNA 12;SAAVEDRA;BICISENDA;BIDIRECCIONAL;0,12479343848;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
173;FREIRE, RAMON, CAP. GRAL.;CALLE;COMUNA 12;SAAVEDRA;CICLOVIA;BIDIRECCIONAL;0,15618304731;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
174;VILELA;CALLE;COMUNA 12;SAAVEDRA;BICISENDA;BIDIRECCIONAL;0,41750607264;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
175;PINTO;CALLE;COMUNA 12;SAAVEDRA;CICLOVIA;BIDIRECCIONAL;0,10094796382;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
176;GARCIA DEL RIO;CALLE;COMUNA 12;SAAVEDRA;BICISENDA;BIDIRECCIONAL;0,43263745010;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
177;MELIAN AV.;AVENIDA;COMUNA 12;SAAVEDRA;BICISENDA;BIDIRECCIONAL;0,12225258139;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
178;RONDEAU;CALLE;COMUNA 5;BOEDO;CICLOVIA;BIDIRECCIONAL;0,34832947314;2011;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
179;PATRICIAS  ARGENTINAS AV.;AVENIDA;COMUNA 6;CABALLITO;BICISENDA;BIDIRECCIONAL;0,91173393726;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
180;RABANAL, FRANCISCO, INTENDENTE AV.;AVENIDA;COMUNA 8;VILLA SOLDATI;BICISENDA;BIDIRECCIONAL;1,34322317002;2013;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
181;ROCA, CNEL.;AVENIDA;COMUNA 8;VILLA SOLDATI;BICISENDA;BIDIRECCIONAL;1,97415557773;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
182;BLANCO ENCALADA;CALLE;COMUNA 12;VILLA URQUIZA;CICLOVIA;BIDIRECCIONAL;2,21475678665;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
183;FRAGATA PRES. SARMIENTO;CALLE;COMUNA 6;CABALLITO;CICLOVIA;BIDIRECCIONAL;1,17484445409;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
184;SARMIENTO;CALLE;COMUNA 1;SAN NICOLAS;CICLOVIA;BIDIRECCIONAL;0,87970566515;2014;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
185;VERA PE├æALOZA, ROSARIO;CALLE;COMUNA 1;PUERTO MADERO;BICISENDA;BIDIRECCIONAL;0,56647469743;2017;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
186;MILLER;CALLE;COMUNA 12;SAAVEDRA;CICLOVIA;BIDIRECCIONAL;1,60154690059;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
187;AMENABAR;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;1,04588187471;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
188;RAVIGNANI, EMILIO, DR.;CALLE;COMUNA 14;PALERMO;CICLOVIA;BIDIRECCIONAL;0,71058100092;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
189;11 DE SEPTIEMBRE DE 1888;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;0,50825787971;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
190;PEPIRI;CALLE;COMUNA 4;PARQUE PATRICIOS;CICLOVIA;BIDIRECCIONAL;0,89586236701;2019;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
191;ECHEVERRIA;CALLE;COMUNA 13;BELGRANO;CICLOVIA;BIDIRECCIONAL;1,49293993584;2018;NO SE ENCUENTRA EN UN LIMITE ENTRE COMUNAS;NO SE ENCUENTRA EN UN LIMITE ENTRE BARRIOS
